Name,Alias_HCP
Bank of the Superior Temporal Sulcus,Bankssts
Caudal Anterior-cingulate Cortex,Caudalanteriorcingulate
Caudal Middle Frontal Gyrus,Caudalmiddlefrontal
Unmeasured Corpus Callosum,Corpuscallosum
Cuneus Cortex,Cuneus
Entorhinal Cortex,Entorhinal
Fusiform Gyrus,Fusiform
Inferior Parietal Cortex,Inferiorparietal
Inferior Temporal Gyrus,Inferiortemporal
Isthmus-cingulate Cortex,Isthmuscingulate
Lateral occipital cortex,Lateraloccipital
Lateral orbital frontal cortex,Lateralorbitofrontal
Lingual Gyrus,Lingual
Medial orbital frontal cortex,Medialorbitofrontal
Middle temporal gyrus,Middletemporal
Parahippocampal gyrus,Parahippocampal
Paracentral lobule,Paracentral
Pars opercularis,Parsopercularis
Pars orbitalis,Parsorbitalis
Pars triangularis,Parstriangularis
Pericalcarine cortex,Pericalcarine
Postcentral gyrus,Postcentral
Posterior-cingulate cortex,Posteriorcingulate
Precentral gyrus,Precentral
Precuneus cortex,Precuneus
Rostral anterior cingulate cortex,Rostralanteriorcingulate
Rostral middle frontal gyrus,Rostralmiddlefrontal
Superior frontal gyrus,Superiorfrontal
Superior parietal cortex,Superiorparietal
Superior temporal gyrus,Superiortemporal
Supramarginal gyrus,Supramarginal
Frontal pole,Frontalpole
Temporal pole,Temporalpole
Transverse temporal cortex,Transversetemporal
Insula cortex,Insula
